date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,latitude,longitude
2020-02-25,SP,0,state,1,0.0,False,45919049.0,35.0,0.00218,0.0,-23.53396987915039,-46.628868103027344
2020-02-25,SP,São Paulo,city,1,0.0,False,12252023.0,3550308.0,0.008159999999999999,0.0,-23.56287002563477,-46.65467834472656
2020-02-26,SP,0,state,1,0.0,False,45919049.0,35.0,0.00218,0.0,-23.53396987915039,-46.628868103027344
2020-02-26,SP,São Paulo,city,1,0.0,False,12252023.0,3550308.0,0.008159999999999999,0.0,-23.56287002563477,-46.65467834472656
2020-02-27,SP,0,state,1,0.0,False,45919049.0,35.0,0.00218,0.0,-23.53396987915039,-46.628868103027344
2020-02-27,SP,São Paulo,city,1,0.0,False,12252023.0,3550308.0,0.008159999999999999,0.0,-23.56287002563477,-46.65467834472656
2020-02-28,SP,0,state,2,0.0,False,45919049.0,35.0,0.00436,0.0,-23.53396987915039,-46.628868103027344
2020-02-28,SP,São Paulo,city,2,0.0,False,12252023.0,3550308.0,0.016319999999999998,0.0,-23.56287002563477,-46.65467834472656
2020-02-29,SP,0,state,2,0.0,False,45919049.0,35.0,0.00436,0.0,-23.53396987915039,-46.628868103027344
2020-02-29,SP,São Paulo,city,2,0.0,False,12252023.0,3550308.0,0.016319999999999998,0.0,-23.56287002563477,-46.65467834472656
2020-03-01,SP,0,state,2,0.0,False,45919049.0,35.0,0.00436,0.0,-23.53396987915039,-46.628868103027344
2020-03-01,SP,São Paulo,city,2,0.0,False,12252023.0,3550308.0,0.016319999999999998,0.0,-23.56287002563477,-46.65467834472656
2020-03-02,SP,0,state,2,0.0,False,45919049.0,35.0,0.00436,0.0,-23.53396987915039,-46.628868103027344
2020-03-02,SP,São Paulo,city,2,0.0,False,12252023.0,3550308.0,0.016319999999999998,0.0,-23.56287002563477,-46.65467834472656
2020-03-03,SP,0,state,2,0.0,False,45919049.0,35.0,0.00436,0.0,-23.53396987915039,-46.628868103027344
2020-03-03,SP,São Paulo,city,2,0.0,False,12252023.0,3550308.0,0.016319999999999998,0.0,-23.56287002563477,-46.65467834472656
2020-03-04,SP,0,state,3,0.0,False,45919049.0,35.0,0.006529999999999999,0.0,-23.53396987915039,-46.628868103027344
2020-03-04,SP,São Paulo,city,3,0.0,False,12252023.0,3550308.0,0.02449,0.0,-23.56287002563477,-46.65467834472656
2020-03-05,ES,0,state,1,0.0,False,4018650.0,32.0,0.024880000000000003,0.0,-20.30677032470703,-40.30622863769531
2020-03-05,RJ,0,state,1,0.0,False,17264943.0,33.0,0.00579,0.0,-22.90880012512207,-43.196739196777344
2020-03-05,SP,0,state,6,0.0,False,45919049.0,35.0,0.013069999999999998,0.0,-23.53396987915039,-46.628868103027344
2020-03-05,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-05,SP,São Paulo,city,6,0.0,False,12252023.0,3550308.0,0.04897,0.0,-23.56287002563477,-46.65467834472656
2020-03-06,BA,0,state,1,0.0,False,14873064.0,29.0,0.00672,0.0,-12.972900390625,-38.50123977661133
2020-03-06,ES,0,state,1,0.0,False,4018650.0,32.0,0.024880000000000003,0.0,-20.30677032470703,-40.30622863769531
2020-03-06,RJ,0,state,2,0.0,False,17264943.0,33.0,0.01158,0.0,-22.90880012512207,-43.196739196777344
2020-03-06,SP,0,state,10,0.0,False,45919049.0,35.0,0.02178,0.0,-23.53396987915039,-46.628868103027344
2020-03-06,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-06,BA,Feira de Santana,city,1,0.0,False,614872.0,2910800.0,0.16264,0.0,-12.25551986694336,-38.95991897583008
2020-03-06,RJ,Rio de Janeiro,city,1,0.0,False,6718903.0,3304557.0,0.01488,0.0,-22.91216087341309,-43.17501068115234
2020-03-06,SP,São Paulo,city,6,0.0,False,12252023.0,3550308.0,0.04897,0.0,-23.56287002563477,-46.65467834472656
2020-03-07,BA,0,state,2,0.0,False,14873064.0,29.0,0.01345,0.0,-12.972900390625,-38.50123977661133
2020-03-07,DF,0,state,1,0.0,False,3015268.0,53.0,0.03316,0.0,-15.792110443115234,-47.89775085449219
2020-03-07,ES,0,state,1,0.0,False,4018650.0,32.0,0.024880000000000003,0.0,-20.30677032470703,-40.30622863769531
2020-03-07,RJ,0,state,2,0.0,False,17264943.0,33.0,0.01158,0.0,-22.90880012512207,-43.196739196777344
2020-03-07,SP,0,state,13,0.0,False,45919049.0,35.0,0.02831,0.0,-23.53396987915039,-46.628868103027344
2020-03-07,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-07,DF,Brasília,city,1,0.0,False,3015268.0,5300108.0,0.03316,0.0,-15.778429985046387,-47.92864990234375
2020-03-07,BA,Feira de Santana,city,2,0.0,False,614872.0,2910800.0,0.32527,0.0,-12.25551986694336,-38.95991897583008
2020-03-07,RJ,Rio de Janeiro,city,1,0.0,False,6718903.0,3304557.0,0.01488,0.0,-22.91216087341309,-43.17501068115234
2020-03-07,SP,Santana de Parnaíba,city,1,0.0,False,139447.0,3547304.0,0.71712,0.0,-23.44651985168457,-46.91873168945313
2020-03-07,SP,São Paulo,city,12,0.0,False,12252023.0,3550308.0,0.09794,0.0,-23.56287002563477,-46.65467834472656
2020-03-08,AL,0,state,1,0.0,False,3337357.0,27.0,0.029960000000000007,0.0,-9.662039756774902,-35.73516082763672
2020-03-08,BA,0,state,2,0.0,False,14873064.0,29.0,0.01345,0.0,-12.972900390625,-38.50123977661133
2020-03-08,DF,0,state,1,0.0,False,3015268.0,53.0,0.03316,0.0,-15.792110443115234,-47.89775085449219
2020-03-08,ES,0,state,1,0.0,False,4018650.0,32.0,0.024880000000000003,0.0,-20.30677032470703,-40.30622863769531
2020-03-08,MG,0,state,1,0.0,False,21168791.0,31.0,0.00472,0.0,-19.91864013671875,-43.935691833496094
2020-03-08,RJ,0,state,3,0.0,False,17264943.0,33.0,0.01738,0.0,-22.90880012512207,-43.196739196777344
2020-03-08,SP,0,state,16,0.0,False,45919049.0,35.0,0.03484,0.0,-23.53396987915039,-46.628868103027344
2020-03-08,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-08,DF,Brasília,city,1,0.0,False,3015268.0,5300108.0,0.03316,0.0,-15.778429985046387,-47.92864990234375
2020-03-08,MG,Divinópolis,city,1,0.0,False,238230.0,3122306.0,0.41976,0.0,-20.1389102935791,-44.887290954589844
2020-03-08,BA,Feira de Santana,city,2,0.0,False,614872.0,2910800.0,0.32527,0.0,-12.25551986694336,-38.95991897583008
2020-03-08,AL,Maceió,city,1,0.0,False,1018948.0,2704302.0,0.09814,0.0,-9.66648006439209,-35.73498916625977
2020-03-08,RJ,Rio de Janeiro,city,2,0.0,False,6718903.0,3304557.0,0.02977,0.0,-22.91216087341309,-43.17501068115234
2020-03-08,SP,Santana de Parnaíba,city,1,0.0,False,139447.0,3547304.0,0.71712,0.0,-23.44651985168457,-46.91873168945313
2020-03-08,SP,São Paulo,city,15,0.0,False,12252023.0,3550308.0,0.12243,0.0,-23.56287002563477,-46.65467834472656
2020-03-09,AL,0,state,1,0.0,False,3337357.0,27.0,0.029960000000000007,0.0,-9.662039756774902,-35.73516082763672
2020-03-09,BA,0,state,2,0.0,False,14873064.0,29.0,0.01345,0.0,-12.972900390625,-38.50123977661133
2020-03-09,DF,0,state,1,0.0,False,3015268.0,53.0,0.03316,0.0,-15.792110443115234,-47.89775085449219
2020-03-09,ES,0,state,1,0.0,False,4018650.0,32.0,0.024880000000000003,0.0,-20.30677032470703,-40.30622863769531
2020-03-09,MG,0,state,1,0.0,False,21168791.0,31.0,0.00472,0.0,-19.91864013671875,-43.935691833496094
2020-03-09,RJ,0,state,3,0.0,False,17264943.0,33.0,0.01738,0.0,-22.90880012512207,-43.196739196777344
2020-03-09,SP,0,state,16,0.0,False,45919049.0,35.0,0.03484,0.0,-23.53396987915039,-46.628868103027344
2020-03-09,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-09,DF,Brasília,city,1,0.0,False,3015268.0,5300108.0,0.03316,0.0,-15.778429985046387,-47.92864990234375
2020-03-09,MG,Divinópolis,city,1,0.0,False,238230.0,3122306.0,0.41976,0.0,-20.1389102935791,-44.887290954589844
2020-03-09,BA,Feira de Santana,city,2,0.0,False,614872.0,2910800.0,0.32527,0.0,-12.25551986694336,-38.95991897583008
2020-03-09,AL,Maceió,city,1,0.0,False,1018948.0,2704302.0,0.09814,0.0,-9.66648006439209,-35.73498916625977
2020-03-09,RJ,Rio de Janeiro,city,2,0.0,False,6718903.0,3304557.0,0.02977,0.0,-22.91216087341309,-43.17501068115234
2020-03-09,SP,Santana de Parnaíba,city,1,0.0,False,139447.0,3547304.0,0.71712,0.0,-23.44651985168457,-46.91873168945313
