date,state,city,level,lat,lng,cases,pop2019,ibgeCode,casesPer100k,deaths,deathRate
2020-03-08,DF,0,state,-15.792110443115234,-47.89775085449219,1,3015268.0,53.0,0.03316,0.0,0.0
2020-03-08,ES,0,state,-20.30677032470703,-40.30622863769531,1,4018650.0,32.0,0.024880000000000003,0.0,0.0
2020-03-08,MG,0,state,-19.91864013671875,-43.935691833496094,1,21168791.0,31.0,0.00472,0.0,0.0
2020-03-08,RJ,0,state,-22.90880012512207,-43.196739196777344,3,17264943.0,33.0,0.01738,0.0,0.0
2020-03-08,SP,0,state,-23.53396987915039,-46.628868103027344,16,45919049.0,35.0,0.034839999999999996,0.0,0.0
2020-03-08,RJ,Barra Mansa,city,-22.54132080078125,-44.169090270996094,1,184412.0,3300407.0,0.5422600000000001,0.0,0.0
2020-03-08,DF,Brasília,city,-15.778429985046387,-47.92864990234375,1,3015268.0,5300108.0,0.03316,0.0,0.0
2020-03-08,MG,Divinópolis,city,-20.1389102935791,-44.887290954589844,1,238230.0,3122306.0,0.41976,0.0,0.0
2020-03-08,BA,Feira de Santana,city,-12.25551986694336,-38.95991897583008,2,614872.0,2910800.0,0.32527,0.0,0.0
2020-03-08,AL,Maceió,city,-9.66648006439209,-35.73498916625977,1,1018948.0,2704302.0,0.09813999999999999,0.0,0.0
2020-03-08,RJ,Rio de Janeiro,city,-22.91216087341309,-43.175010681152344,2,6718903.0,3304557.0,0.029769999999999998,0.0,0.0
2020-03-08,SP,Santana de Parnaíba,city,-23.44651985168457,-46.91873168945313,1,139447.0,3547304.0,0.71712,0.0,0.0
2020-03-08,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,15,12252023.0,3550308.0,0.12243,0.0,0.0
2020-03-09,AL,0,state,-9.662039756774902,-35.73516082763672,1,3337357.0,27.0,0.029960000000000007,0.0,0.0
2020-03-09,BA,0,state,-12.972900390625,-38.50123977661133,2,14873064.0,29.0,0.01345,0.0,0.0
