date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-08,AC,0,state,58,2.0,False,881935.0,12.0,6.57645,0.0345
2020-04-08,AL,0,state,37,3.0,False,3337357.0,27.0,1.10866,0.0811
2020-04-08,AM,0,state,804,30.0,False,4144597.0,13.0,19.39875,0.0373
2020-04-08,AP,0,state,107,2.0,False,845731.0,16.0,12.65178,0.0187
2020-04-08,BA,0,state,515,18.0,False,14873064.0,29.0,3.46264,0.035
2020-04-08,CE,0,state,1394,57.0,False,9132078.0,23.0,15.264870000000002,0.0409
2020-04-08,DF,0,state,509,12.0,False,3015268.0,53.0,16.88075,0.0236
2020-04-08,ES,0,state,273,6.0,False,4018650.0,32.0,6.79333,0.022
2020-04-08,GO,0,state,159,7.0,False,7018354.0,52.0,2.26549,0.044
2020-04-08,MA,0,state,272,12.0,False,7075181.0,21.0,3.84442,0.0441
2020-04-08,MG,0,state,614,14.0,False,21168791.0,31.0,2.9005,0.0228
2020-04-08,MS,0,state,85,2.0,False,2778986.0,50.0,3.05867,0.0235
2020-04-08,MT,0,state,90,1.0,False,3484466.0,51.0,2.5828900000000004,0.0111
2020-04-08,PA,0,state,165,6.0,False,8602865.0,15.0,1.91797,0.0364
2020-04-08,PB,0,state,55,7.0,False,4018127.0,25.0,1.3688,0.1273
2020-04-08,PE,0,state,401,46.0,False,9557071.0,26.0,4.19585,0.1147
2020-04-08,PI,0,state,38,6.0,False,3273227.0,22.0,1.16093,0.1579
2020-04-08,PR,0,state,550,17.0,False,11433957.0,41.0,4.810230000000002,0.0309
2020-04-08,RJ,0,state,1938,106.0,False,17264943.0,33.0,11.22506,0.0547
2020-04-08,RN,0,state,261,11.0,False,3506853.0,24.0,7.44257,0.0421
2020-04-08,RO,0,state,26,1.0,False,1777225.0,11.0,1.46295,0.0385
2020-04-08,RR,0,state,52,1.0,False,605761.0,14.0,8.58424,0.0192
2020-04-08,RS,0,state,581,10.0,False,11377239.0,43.0,5.10669,0.0172
2020-04-08,SC,0,state,501,17.0,False,7164788.0,42.0,6.99253,0.0339
2020-04-08,SE,0,state,39,4.0,False,2298696.0,28.0,1.69661,0.1026
2020-04-08,SP,0,state,6708,428.0,False,45919049.0,35.0,14.60832,0.0638
