date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,latitude,longitude
2020-03-30,AC,0,state,41,0.0,False,881935.0,12.0,4.64887,0.0,-9.978580474853516,-67.81183624267578
2020-03-30,AL,0,state,17,0.0,False,3337357.0,27.0,0.50939,0.0,-9.662039756774902,-35.73516082763672
2020-03-30,AM,0,state,151,2.0,False,4144597.0,13.0,3.6433,0.0132,-3.122299909591675,-60.01462173461914
2020-03-30,AP,0,state,8,0.0,False,845731.0,16.0,0.9459299999999999,0.0,0.036410000175237656,-51.04829025268555
2020-03-30,BA,0,state,176,2.0,False,14873064.0,29.0,1.18335,0.0114,-12.972900390625,-38.50123977661133
2020-03-30,CE,0,state,382,5.0,False,9132078.0,23.0,4.18306,0.0131,-3.7833199501037598,-38.58890151977539
2020-03-30,DF,0,state,312,2.0,False,3015268.0,53.0,10.347339999999999,0.0064,-15.792110443115234,-47.89775085449219
2020-03-30,ES,0,state,85,0.0,False,4018650.0,32.0,2.1151400000000002,0.0,-20.30677032470703,-40.30622863769531
2020-03-30,GO,0,state,60,1.0,False,7018354.0,52.0,0.8549,0.0167,-16.690370559692383,-49.25838088989258
2020-03-30,MA,0,state,30,1.0,False,7075181.0,21.0,0.42402,0.0333,-2.5144999027252197,-44.30067825317383
2020-03-30,MG,0,state,261,1.0,False,21168791.0,31.0,1.23295,0.0038,-19.91864013671875,-43.935691833496094
2020-03-30,MS,0,state,44,0.0,False,2778986.0,50.0,1.58331,0.0,-20.45149040222168,-54.616119384765625
2020-03-30,MT,0,state,18,0.0,False,3484466.0,51.0,0.51658,0.0,-15.614919662475586,-56.093231201171875
2020-03-30,PA,0,state,26,0.0,False,8602865.0,15.0,0.30222,0.0,-1.4393600225448608,-48.49768829345703
2020-03-30,PB,0,state,17,0.0,False,4018127.0,25.0,0.42308,0.0,-7.130489826202393,-34.8673095703125
2020-03-30,PE,0,state,77,6.0,False,9557071.0,26.0,0.80569,0.0779,-8.085169792175293,-34.91463851928711
2020-03-30,PI,0,state,18,4.0,False,3273227.0,22.0,0.54992,0.2222,-5.105179786682129,-42.80194854736328
2020-03-30,PR,0,state,160,3.0,False,11433957.0,41.0,1.39934,0.0187,-25.430479049682617,-49.28451156616211
2020-03-30,RJ,0,state,657,18.0,False,17264943.0,33.0,3.8054,0.0274,-22.90880012512207,-43.196739196777344
2020-03-30,RN,0,state,77,1.0,False,3506853.0,24.0,2.1957,0.013000000000000001,-5.805920124053955,-35.210540771484375
2020-03-30,RO,0,state,8,1.0,False,1777225.0,11.0,0.45014,0.125,-8.761899948120117,-63.90618896484375
2020-03-30,RR,0,state,16,0.0,False,605761.0,14.0,2.64131,0.0,2.8242499828338623,-60.65742111206055
2020-03-30,RS,0,state,254,4.0,False,11377239.0,43.0,2.23253,0.0157,-30.03952980041504,-51.2169303894043
2020-03-30,SC,0,state,219,2.0,False,7164788.0,42.0,3.05662,0.0091,-27.59984016418457,-48.54182052612305
2020-03-30,SE,0,state,18,0.0,False,2298696.0,28.0,0.78305,0.0,-10.910599708557129,-37.059898376464844
2020-03-30,SP,0,state,1517,113.0,False,45919049.0,35.0,3.30364,0.0745,-23.53396987915039,-46.628868103027344
2020-03-30,TO,0,state,11,0.0,False,1572866.0,17.0,0.69936,0.0,-10.7767972946167,-53.06805419921875
2020-03-30,AC,Acrelândia,city,6,0.0,False,15256.0,1200013.0,39.32879000000001,0.0,-10.076239585876465,-67.05326843261719
2020-03-30,BA,Alagoinhas,city,1,0.0,False,151596.0,2900702.0,0.65965,0.0,-12.136770248413086,-38.423038482666016
2020-03-30,PR,Almirante Tamandaré,city,2,0.0,False,118623.0,4100400.0,1.6860099999999998,0.0,-25.316570281982422,-49.30155944824219
2020-03-30,RS,Alvorada,city,2,0.0,False,210305.0,4300604.0,0.951,0.0,-30.00057029724121,-51.07857894897461
2020-03-30,PA,Ananindeua,city,5,0.0,False,530598.0,1500800.0,0.9423299999999999,0.0,-1.3660000562667847,-48.37211990356445
2020-03-30,RJ,Angra dos Reis,city,1,0.0,False,203785.0,3300100.0,0.49071000000000004,0.0,-23.007129669189453,-44.3131103515625
2020-03-30,AM,Anori,city,1,0.0,False,21010.0,1300102.0,4.75964,0.0,-3.743149995803833,-61.65835952758789
2020-03-30,RS,Anta Gorda,city,2,0.0,False,5981.0,4300703.0,33.43922,0.0,-28.97241973876953,-52.00492858886719
2020-03-30,SC,Antônio Carlos,city,1,0.0,False,8513.0,4201208.0,11.746739999999999,0.0,-27.517229080200195,-48.767948150634766
2020-03-30,GO,Anápolis,city,4,0.0,False,386923.0,5201108.0,1.0338,0.0,-16.328659057617188,-48.95294952392578
2020-03-30,GO,Aparecida de Goiânia,city,2,0.0,False,578179.0,5201405.0,0.34591,0.0,-16.822629928588867,-49.25107955932617
2020-03-30,RN,Apodi,city,1,0.0,False,35845.0,2401008.0,2.78979,0.0,-5.663090229034424,-37.79819869995117
