date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,latitude,longitude
2020-04-08,AC,0,state,58,2.0,False,881935.0,12.0,6.57645,0.0345,-9.978580474853516,-67.81183624267578
2020-04-08,AL,0,state,37,3.0,False,3337357.0,27.0,1.10866,0.0811,-9.662039756774902,-35.73516082763672
2020-04-08,AM,0,state,804,30.0,False,4144597.0,13.0,19.39875,0.0373,-3.122299909591675,-60.01462173461914
2020-04-08,AP,0,state,107,2.0,False,845731.0,16.0,12.65178,0.0187,0.036410000175237656,-51.04829025268555
2020-04-08,BA,0,state,515,18.0,False,14873064.0,29.0,3.46264,0.035,-12.972900390625,-38.50123977661133
2020-04-08,CE,0,state,1188,40.0,True,9132078.0,23.0,13.009089999999999,0.0337,-3.7833199501037598,-38.58890151977539
2020-04-08,DF,0,state,509,12.0,False,3015268.0,53.0,16.88075,0.0236,-15.792110443115234,-47.89775085449219
2020-04-08,ES,0,state,273,6.0,False,4018650.0,32.0,6.79333,0.022000000000000002,-20.30677032470703,-40.30622863769531
2020-04-08,GO,0,state,159,7.0,False,7018354.0,52.0,2.2654900000000002,0.044000000000000004,-16.690370559692383,-49.25838088989258
2020-04-08,MA,0,state,272,12.0,False,7075181.0,21.0,3.8444199999999995,0.0441,-2.5144999027252197,-44.30067825317383
2020-04-08,MG,0,state,614,14.0,False,21168791.0,31.0,2.9005,0.0228,-19.91864013671875,-43.935691833496094
2020-04-08,MS,0,state,85,2.0,False,2778986.0,50.0,3.05867,0.0235,-20.45149040222168,-54.616119384765625
2020-04-08,MT,0,state,90,1.0,False,3484466.0,51.0,2.5828900000000004,0.0111,-15.614919662475586,-56.093231201171875
2020-04-08,PA,0,state,165,6.0,False,8602865.0,15.0,1.9179700000000002,0.0364,-1.4393600225448608,-48.49768829345703
2020-04-08,PB,0,state,55,7.0,False,4018127.0,25.0,1.3688,0.1273,-7.130489826202393,-34.8673095703125
2020-04-08,PE,0,state,401,46.0,False,9557071.0,26.0,4.19585,0.1147,-8.085169792175293,-34.91463851928711
2020-04-08,PI,0,state,38,6.0,False,3273227.0,22.0,1.16093,0.1579,-5.105179786682129,-42.80194854736328
2020-04-08,PR,0,state,550,17.0,False,11433957.0,41.0,4.810230000000002,0.0309,-25.430479049682617,-49.28451156616211
2020-04-08,RJ,0,state,1938,106.0,False,17264943.0,33.0,11.225060000000001,0.0547,-22.90880012512207,-43.196739196777344
2020-04-08,RN,0,state,261,11.0,False,3506853.0,24.0,7.44257,0.0421,-5.805920124053955,-35.210540771484375
2020-04-08,RO,0,state,26,1.0,False,1777225.0,11.0,1.46295,0.0385,-8.761899948120117,-63.90618896484375
2020-04-08,RR,0,state,52,1.0,False,605761.0,14.0,8.58424,0.0192,2.8242499828338623,-60.65742111206055
2020-04-08,RS,0,state,581,10.0,False,11377239.0,43.0,5.10669,0.0172,-30.03952980041504,-51.2169303894043
2020-04-08,SC,0,state,501,17.0,False,7164788.0,42.0,6.99253,0.0339,-27.59984016418457,-48.54182052612305
2020-04-08,SE,0,state,39,4.0,False,2298696.0,28.0,1.69661,0.1026,-10.910599708557129,-37.059898376464844
2020-04-08,SP,0,state,6708,428.0,False,45919049.0,35.0,14.60832,0.0638,-23.53396987915039,-46.628868103027344
2020-04-08,TO,0,state,23,0.0,False,1572866.0,17.0,1.4623,0.0,-10.7767972946167,-53.06805419921875
2020-04-08,PA,Abaetetuba,city,2,0.0,False,157698.0,1500107.0,1.26825,0.0,-1.7288899421691895,-48.87382125854492
2020-04-08,CE,Abaiara,city,1,0.0,True,11737.0,2300101.0,8.52006,0.0,-7.360310077667236,-39.0477409362793
