date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,latitude,longitude
2020-03-17,AC,0,state,3,0.0,False,881935.0,12.0,0.34016,0.0,-9.978580474853516,-67.81183624267578
2020-03-17,AL,0,state,1,0.0,False,3337357.0,27.0,0.029960000000000007,0.0,-9.662039756774902,-35.73516082763672
2020-03-17,AM,0,state,1,0.0,False,4144597.0,13.0,0.024130000000000002,0.0,-3.122299909591675,-60.01462173461914
2020-03-17,BA,0,state,14,0.0,False,14873064.0,29.0,0.09412999999999999,0.0,-12.972900390625,-38.50123977661133
2020-03-17,CE,0,state,10,0.0,False,9132078.0,23.0,0.1095,0.0,-3.7833199501037598,-38.58890151977539
2020-03-17,DF,0,state,19,0.0,False,3015268.0,53.0,0.63013,0.0,-15.792110443115234,-47.89775085449219
2020-03-17,ES,0,state,8,0.0,False,4018650.0,32.0,0.19907,0.0,-20.30677032470703,-40.30622863769531
2020-03-17,GO,0,state,10,0.0,False,7018354.0,52.0,0.14248,0.0,-16.690370559692383,-49.25838088989258
2020-03-17,MG,0,state,14,0.0,False,21168791.0,31.0,0.06614,0.0,-19.91864013671875,-43.935691833496094
2020-03-17,MS,0,state,6,0.0,False,2778986.0,50.0,0.21591,0.0,-20.45149040222168,-54.616119384765625
2020-03-17,PB,0,state,0,0.0,False,4018127.0,25.0,0.0,0.0,-7.130489826202393,-34.8673095703125
2020-03-17,PE,0,state,18,0.0,False,9557071.0,26.0,0.18834,0.0,-8.085169792175293,-34.91463851928711
2020-03-17,PR,0,state,12,0.0,False,11433957.0,41.0,0.10495,0.0,-25.430479049682617,-49.28451156616211
2020-03-17,RJ,0,state,25,0.0,False,17264943.0,33.0,0.1448,0.0,-22.90880012512207,-43.196739196777344
2020-03-17,RN,0,state,1,0.0,False,3506853.0,24.0,0.02852,0.0,-5.805920124053955,-35.210540771484375
2020-03-17,RS,0,state,8,0.0,False,11377239.0,43.0,0.07032000000000001,0.0,-30.03952980041504,-51.2169303894043
2020-03-17,SC,0,state,7,0.0,False,7164788.0,42.0,0.0977,0.0,-27.59984016418457,-48.54182052612305
2020-03-17,SE,0,state,5,0.0,False,2298696.0,28.0,0.21750999999999998,0.0,-10.910599708557129,-37.059898376464844
2020-03-17,SP,0,state,164,1.0,False,45919049.0,35.0,0.35715,0.0061,-23.53396987915039,-46.628868103027344
2020-03-17,GO,Anápolis,city,2,0.0,False,386923.0,5201108.0,0.5169,0.0,-16.328659057617188,-48.95294952392578
2020-03-17,CE,Aquiraz,city,1,0.0,False,80271.0,2301000.0,1.2457799999999999,0.0,-3.898940086364746,-38.367488861083984
2020-03-17,SE,Aracaju,city,5,0.0,False,657013.0,2800308.0,0.76102,0.0,-10.909210205078125,-37.074459075927734
2020-03-17,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-17,MG,Belo Horizonte,city,5,0.0,False,2512070.0,3106200.0,0.19904000000000002,0.0,-19.919519424438477,-43.938331604003906
2020-03-17,PE,Belo Jardim,city,1,0.0,False,76439.0,2601706.0,1.30823,0.0,-8.337360382080078,-36.424400329589844
2020-03-17,DF,Brasília,city,19,0.0,False,3015268.0,5300108.0,0.63013,0.0,-15.778429985046387,-47.92864990234375
2020-03-17,SC,Braço do Norte,city,1,0.0,False,33450.0,4202800.0,2.9895400000000003,0.0,-28.28342056274414,-49.15863037109375
2020-03-17,RS,Campo Bom,city,1,0.0,False,66712.0,4303905.0,1.49898,0.0,-29.58502960205078,-51.08980941772461
2020-03-17,MS,Campo Grande,city,6,0.0,False,895982.0,5002704.0,0.66966,0.0,-20.456300735473633,-54.61532974243164
2020-03-17,PR,Campo Largo,city,1,0.0,False,132002.0,4104204.0,0.75756,0.0,-25.454450607299805,-49.514549255371094
2020-03-17,SP,Carapicuíba,city,1,0.0,False,400927.0,3510609.0,0.24941999999999998,0.0,-23.52511978149414,-46.835689544677734
2020-03-17,RS,Caxias do Sul,city,1,0.0,False,510906.0,4305108.0,0.19573,0.0,-29.16781997680664,-51.178958892822266
2020-03-17,PR,Cianorte,city,2,0.0,False,82620.0,4105508.0,2.42072,0.0,-23.663230895996094,-52.60538864135742
2020-03-17,MG,Coronel Fabriciano,city,1,0.0,False,109855.0,3119401.0,0.9102899999999999,0.0,-19.52235984802246,-42.624488830566406
2020-03-17,PR,Curitiba,city,7,0.0,False,1933105.0,4106902.0,0.36211,0.0,-25.439979553222656,-49.27653884887695
2020-03-17,MG,Divinópolis,city,1,0.0,False,238230.0,3122306.0,0.41976,0.0,-20.1389102935791,-44.887290954589844
2020-03-17,BA,Feira de Santana,city,5,0.0,False,614872.0,2910800.0,0.81318,0.0,-12.25551986694336,-38.95991897583008
2020-03-17,SP,Ferraz de Vasconcelos,city,1,0.0,False,194276.0,3515707.0,0.51473,0.0,-23.543039321899414,-46.37017822265625
2020-03-17,SC,Florianópolis,city,3,0.0,False,500973.0,4205407.0,0.59883,0.0,-27.59758949279785,-48.54798889160156
2020-03-17,CE,Fortaleza,city,9,0.0,False,2669342.0,2304400.0,0.33716,0.0,-3.718410015106201,-38.54288101196289
2020-03-17,GO,Goiânia,city,5,0.0,False,1516113.0,5208707.0,0.32979,0.0,-16.679309844970703,-49.25645065307617
2020-03-17,SP,Guarulhos,city,1,0.0,False,1379182.0,3518800.0,0.07251,0.0,-23.44352912902832,-46.5076789855957
2020-03-17,MG,Ipatinga,city,1,0.0,False,263410.0,3131307.0,0.37964000000000003,0.0,-19.466920852661133,-42.536399841308594
2020-03-17,PE,Jaboatão dos Guararapes,city,2,0.0,False,702298.0,2607901.0,0.28478000000000003,0.0,-8.179550170898438,-34.94702911376953
2020-03-17,SC,Joinville,city,1,0.0,False,590466.0,4209102.0,0.16935999999999998,0.0,-26.304880142211914,-48.84621047973633
2020-03-17,MG,Juiz de Fora,city,2,0.0,False,568873.0,3136702.0,0.35157,0.0,-21.765350341796875,-43.348690032958984
2020-03-17,PR,Londrina,city,1,0.0,False,569733.0,4113700.0,0.17552,0.0,-23.309959411621094,-51.165401458740234
2020-03-17,AL,Maceió,city,1,0.0,False,1018948.0,2704302.0,0.09813999999999999,0.0,-9.66648006439209,-35.734989166259766
2020-03-17,SP,Mauá,city,1,0.0,False,472912.0,3529401.0,0.21145999999999998,0.0,-23.664329528808594,-46.4582405090332
2020-03-17,RN,Natal,city,1,0.0,False,884122.0,2408102.0,0.11310999999999999,0.0,-5.795440196990967,-35.211509704589844
2020-03-17,RJ,Niterói,city,1,0.0,False,513584.0,3303302.0,0.19471,0.0,-22.888429641723633,-43.11463928222656
2020-03-17,MG,Nova Lima,city,1,0.0,False,94889.0,3144805.0,1.05386,0.0,-19.988309860229492,-43.8467903137207
2020-03-17,MG,Patrocínio,city,1,0.0,False,90757.0,3148103.0,1.10184,0.0,-18.94318962097168,-46.99235916137695
2020-03-17,PR,Pinhais,city,1,0.0,False,132157.0,4119152.0,0.75668,0.0,-25.433059692382812,-49.18497085571289
2020-03-17,RS,Porto Alegre,city,6,0.0,False,1483771.0,4314902.0,0.40438,0.0,-30.033920288085938,-51.227989196777344
2020-03-17,BA,Porto Seguro,city,3,0.0,False,148686.0,2925303.0,2.01767,0.0,-16.451139450073242,-39.06476974487305
2020-03-17,BA,Prado,city,1,0.0,False,28174.0,2925501.0,3.5493699999999997,0.0,-17.338600158691406,-39.22658920288086
2020-03-17,SC,Rancho Queimado,city,2,0.0,False,2878.0,4214300.0,69.4927,0.0,-27.673259735107422,-49.012290954589844
2020-03-17,PE,Recife,city,13,0.0,False,1645727.0,2611606.0,0.78992,0.0,-8.055310249328613,-34.87199020385742
2020-03-17,AC,Rio Branco,city,3,0.0,False,407319.0,1200401.0,0.73652,0.0,-9.97387981414795,-67.80756378173828
2020-03-17,GO,Rio Verde,city,3,0.0,False,235647.0,5218805.0,1.27309,0.0,-17.793840408325195,-50.92919921875
2020-03-17,RJ,Rio de Janeiro,city,23,0.0,False,6718903.0,3304557.0,0.34231999999999996,0.0,-22.912160873413086,-43.175010681152344
2020-03-17,BA,Salvador,city,5,0.0,False,2872347.0,2927408.0,0.17407,0.0,-12.9864501953125,-38.52259063720703
2020-03-17,SP,Santana de Parnaíba,city,1,0.0,False,139447.0,3547304.0,0.71712,0.0,-23.44651985168457,-46.918731689453125
2020-03-17,SP,Santo André,city,1,0.0,False,718773.0,3547809.0,0.13913,0.0,-23.656370162963867,-46.53173828125
2020-03-17,MG,Sete Lagoas,city,1,0.0,False,239639.0,3167202.0,0.41728999999999994,0.0,-19.467439651489258,-44.248748779296875
2020-03-17,SP,São Bernardo do Campo,city,1,0.0,False,838936.0,3548708.0,0.1192,0.0,-23.70309066772461,-46.55242919921875
2020-03-17,SP,São Caetano do Sul,city,1,0.0,False,161127.0,3548807.0,0.62063,0.0,-23.60630989074707,-46.572078704833984
2020-03-17,SP,São Paulo,city,156,1.0,False,12252023.0,3550308.0,1.27326,0.0064,-23.562870025634766,-46.65467834472656
2020-03-17,MG,Uberlândia,city,1,0.0,False,691305.0,3170206.0,0.14465,0.0,-18.91901969909668,-48.2783203125
