date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,latitude,longitude
2020-03-05,ES,0,state,1,0.0,False,4018650.0,32.0,0.024880000000000003,0.0,-20.30677032470703,-40.30622863769531
2020-03-05,RJ,0,state,1,0.0,False,17264943.0,33.0,0.00579,0.0,-22.90880012512207,-43.196739196777344
2020-03-05,SP,0,state,6,0.0,False,45919049.0,35.0,0.013069999999999998,0.0,-23.53396987915039,-46.628868103027344
2020-03-05,RJ,Barra Mansa,city,1,0.0,False,184412.0,3300407.0,0.5422600000000001,0.0,-22.54132080078125,-44.169090270996094
2020-03-05,SP,São Paulo,city,6,0.0,False,12252023.0,3550308.0,0.04897,0.0,-23.562870025634766,-46.65467834472656
